MPN;SKU;Quantity;Price [zł/unit];Price [zł];In stock;Available
4680;485-4684;1;16.04;16.04;2363;True
61201021721;710-61201021721;3;2.56;7.68;2990;True
970130324;710-970130324;2;2.64;5.28;4521;True
1N4148WS;512-1N4148WS;4;0.773;3.092;2695952;True
LSR976-NR-1;720-LSR976-NR-1;1;1.1;1.1;529796;True
742792040;710-742792040;1;0.852;0.852;305092;True
B3S-1000;653-B3S-1000;1;2.56;2.56;9359;True
A6H-4101;653-A6H-4101;1;14.16;14.16;5710;True
STM32G030C8T6;511-STM32G030C8T6;1;9.18;9.18;9252;True
ECS-160-8-36CKM-TR3;520-160-8-36CKM-TR3;1;1.46;1.46;5073;True
C1210X102KDRACTU;80-C1210X102KDRACTU;1;5.9;5.9;5356;True
860021374006;710-860021374006;2;1.34;2.68;2278;True
MURS160-13-F;621-MURS160-F;4;1.59;6.36;593827;True
MMBZ5244BLT1G;863-MMBZ5244BLT1G;1;0.612;0.612;29868;True
UD2-5NU;551-UD2-5NU;1;10.53;10.53;15175;True
7447709221;710-7447709221;3;10.44;31.32;16188;True
FZT1053ATA;522-FZT1053ATA;2;3.29;6.58;25269;True
IRF540SPBF;844-IRF540SPBF;1;8.39;8.39;4137;True
CRCW1210820RJNEA;71-CRCW1210J-820-E3;1;0.773;0.773;8763;True
CRCW12101K00JNEA;71-CRCW1210J-1K-E3;1;0.852;0.852;30944;True
TL082IDRQ1;595-TL082IDRQ1;1;3.54;3.54;49359;True
LM4040EIM3X30NPB;926-LM4040EIM3X30NPB;1;1.95;1.95;6338;True
GRM32EC72A106KE05L;81-GRM32EC72A106KE05;3;4.41;13.23;29843;True
PMEG200G20ELRX;771-PMEG200G20ELRX;4;1.83;7.32;38617;True
274-3AB;567-274-3AB;1;1.28;1.28;1342;True
LSQPA322525T221KR;963-LSQPA322525T221K;1;1.02;1.02;718;True
SN6507DGQR;595-SN6507DGQR;1;12.76;12.76;15152;True
750316856;710-750316856;1;18.27;18.27;2276;True
LM317HVT/NOPB;926-LM317HVT/NOPB;1;11.14;11.14;62;True
865060345007;710-865060345007;3;1.5;4.5;25502;True
AHA1012331M025R;581-AHA1012331M025R;2;8.96;17.92;1047;True
3425L200/60MR;576-3425L200/60MR;2;4.31;8.62;1616;True
SRP7030CA-8R2M;652-SRP7030CA-8R2M;1;7.12;7.12;881;True
WSL2010R0200FEA18;71-WSL2010R0200FEA18;1;2.97;2.97;288757;True
TPS55289RYQR;595-TPS55289RYQR;1;32.73;32.73;8897;True
ADS131M04IRUKT;595-ADS131M04IRUKT;1;25.48;25.48;1393;True
ECS-2520MVLC-081.92-CN-TR;520-2520MVL08192CNTR;1;4.63;4.63;1698;True
MMBZ5221BS-7-F;621-MMBZ5221BS-F;2;1.66;3.32;2960;True
PCF0805-13-1K0BT1;756-PCF0805131K0BT1;2;4.98;9.96;0;False
PCF0805-13-10KBT1;756-PCF08051310KBT1;1;5.07;5.07;18216;True
OPA2187IDR;595-OPA2187IDR;1;14.51;14.51;21186;True
PCF0805-13-100RBT1;756-PCF080513100RBT1;2;4.94;9.88;11830;True
1206L050/15YR;576-1206L050/15YR;1;1.95;1.95;33890;True
AZ1117IH-3.3TRG1;621-AZ1117IH-3.3TRG1;1;1.54;1.54;383028;True
